iter	Logloss
0	0.6406369011
1	0.5947631816
2	0.5630283164
3	0.5278785168
4	0.4932779916
5	0.4634090508
6	0.4282629385
7	0.4001785588
8	0.3726908345
9	0.3514339389
10	0.3269338016
11	0.3063837693
12	0.2892443487
13	0.2719495308
14	0.2580744804
15	0.2404924913
16	0.2256047676
17	0.2135907072
18	0.1998182721
19	0.18960828
20	0.176535603
21	0.1670206533
22	0.1583813888
23	0.1480623866
24	0.1410553558
25	0.1333368268
26	0.1267705917
27	0.1212171024
28	0.1155326913
29	0.1087907254
30	0.104162415
31	0.09968260462
32	0.09445746263
33	0.08989665627
34	0.08525212726
35	0.08175682674
36	0.07853026897
37	0.0751951913
38	0.0715432977
39	0.06836029583
40	0.06604243512
41	0.06395621008
42	0.06197051691
43	0.05928573482
44	0.05739644044
45	0.05537315766
46	0.05341435049
47	0.05180728682
48	0.05021489739
49	0.04851432437
50	0.04685445872
51	0.04567765394
52	0.04428910721
53	0.04305434813
54	0.04175147291
55	0.04074036479
56	0.03939495256
57	0.03829723084
58	0.03755821939
59	0.03677552579
60	0.03602907803
61	0.03524483252
62	0.03465045745
63	0.03384988801
64	0.03306615214
65	0.03234237973
66	0.03179573219
67	0.03125853988
68	0.03080069755
69	0.03031355852
70	0.02982808171
71	0.02936553878
72	0.02880515885
73	0.02825005334
74	0.02784467455
75	0.02750790199
76	0.02697114394
77	0.02663035061
78	0.02618227795
79	0.0258275991
80	0.02555573475
81	0.02518584248
82	0.02482402894
83	0.02446130857
84	0.02419315744
85	0.0238668774
86	0.02358843502
87	0.02332835013
88	0.02308124908
89	0.02284802596
90	0.02266217283
91	0.02249447119
92	0.02233451803
93	0.02203949181
94	0.02190005672
95	0.0216656216
96	0.02163473234
97	0.02152414355
98	0.02132468632
99	0.02111013432
100	0.02105004193
101	0.02088641134
102	0.02071166717
103	0.02046517007
104	0.02039630687
105	0.02029467875
106	0.02018875102
107	0.0200404519
108	0.01979574477
109	0.01963878592
110	0.0195500283
111	0.01940479669
112	0.01930029277
113	0.01917615405
114	0.01907553789
115	0.01892997219
116	0.01882408752
117	0.01866615043
118	0.01853593687
119	0.01840686757
120	0.01830997491
121	0.01823176698
122	0.01817494161
123	0.01809327753
124	0.01799994302
